Name,Address,Mobile,Coordinates
Shahid Suhrawardy Hospital,"Ser-e-Banglanagar, Collegegate",9122560-78,
Ad-Din Hospital,"Moghbazar, Dhaka",9353391-3,"(23.7442387, 90.4141117)"
Ahmed Medical Centre Ltd,"House #71, Road #15-A (New), Dhanmondi C/A",8113628,
Aichi Hospital,"House #13, Eshakha Avenue Sector #6, Uttara Dhaka","8916290,8920165",
Al Anaiet Adhunik Hospital,"House #36, Road #3, Dhanmondi",8631619,"(23.7417731, 90.382781)"
Al-Helal Specialist Hospital,"150, Rokeya Sarani, Senpara Parbata, Mirpur-10, Dhaka","9006820,9008181",
Al Jebel-E-Nur Heart Ltd,"House #21, Road #9/A (New), Dhanmondi",8117031,
Al-Rajhi Hospital,"12, Farmgate-1215, Dhaka","8119229,8121172,9117775",
Al-Ahsraf General Hospital,"House #12 Road #21, Sector #4, Uttara Dhaka",8952851-2,
Al-Biruni Hospital,"23/1, Khilzee Road, Shyamoli","8118905,9115953",
Al-Fateh Medical Services (Pvt) Ltd,"11, Farmgate Over Bridge East Side",9120615,
Al-Madina General Hospital (Pvt.) Ltd,"2/A, Golden Street, Ring Road, Shamoli, Dhaka",8118709,
Al-Manar Hospital,"5/4, Block-F, Lalmatia, Dhaka-1207","9121387,9121588",
Al-Markazul Islami Hospital,"21/17, Babar Road, Mohammadpur","8114980,9129426",
Al-Mohite General Hospital & Diagnostic Centre,"House #11, Road #2, Shamoli","9113831,9114220",
Amri Hospitals Kolkata Bangladesh Info Center,"Erectors House (10th Flr), 17 Kemal Ataturk Avenue, Banani C/A, Dhaka-1213",9893528-9,
Anjuman-E-Mofidul Islam,Dhaka,9336611,"(23.7643863, 90.3890144)"
Appolo Hospital,"20/5, Babar Road, Block #B, Mohammadpur",8152549,
Arimo General Hospital,"Matuil, Deamra Road",,
Arogya Niketan Hospital Ltd,"242-243, New Circular Road, Malibagh",9333730,
Aysha Memorial Specialized Hospital,"74/G, Arjatpara, Mohakhali, Dhaka","9122689,9122690",
B.D.F. Hospital,"5/7, Humayaun Road, Block #D, Mohammadpur","8123730,8116637",
Bangabandhu Sheikh Mujib Medical University,"Shabagh, Dhaka","8614001-9,8614545",
Bangal Nursing Home Ltd,"Lake Circus, Kalabagan, Dhaka",9114824,
